species,spines,leaf_type,life_form,growth_form,n_samples_growth_form,growth_form_simple,biomass_density,n_samples_biomass_density,leaf_length,n_samples_leaf_length,leaf_width,n_samples_leaf_width,plant_height_max,plant_height_mean,n_samples_plant_height,leaf_size,leaf_area,n_samples_leaf_size,biomass_density_ordinal
Heliotropium ciliatum,n,simple,forb,straight_forb,5,straight_herb,low,5,2.72,5,0.64,5,78,66.2,5,3.36,1.75,5,1
Heliotropium steudneri,n,simple,forb,straight_forb,20,straight_herb,low,20,3.58,20,0.695,20,67,36.95,20,4.275,2.673,20,1
Heliotropium strigosum,n,simple,forb,messy_forb,1,messy_herb,medium,1,3,1,0.5,1,23,23,1,3.5,1.5,1,2
Hermannia althaeoides,n,simple,forb,round_forb,5,round_herb,low,5,2.44,5,1.5,5,41,24,5,3.94,3.818,5,1
Hermbstaedtia odorata,n,simple,forb,straight_forb,8,straight_herb,low,8,3.0125,8,0.5375,8,42,31.875,8,3.55,1.7525,8,1
Heteropogon contortus,n,linear,graminoid,sparse_upward_graminoid,22,straight_herb,low,22,19.4954545454545,22,0.436363636363636,22,110,64.1363636363636,22,19.9318181818182,8.56045454545455,22,1
Hibiscus micranthus,n,simple,forb,straight_forb,20,straight_herb,low,20,3.425,20,1.91,20,91,56.875,20,5.335,6.7915,20,1
Hibiscus pusillus,n,lobed,forb,straight_forb,4,straight_herb,low,4,5.2,4,4.55,4,55,27.25,4,9.75,30.34,4,1
Hibiscus sidiformis,n,palmately_compound,forb,straight_forb,9,straight_herb,low,9,3.07777777777778,9,2.74444444444444,9,63,32.1666666666667,9,5.82222222222222,8.89333333333333,9,1
Hibiscus vitifolius,n,simple,forb,straight_forb,5,straight_herb,low,5,4.92,5,5.16,5,134,54.46,5,10.08,23.694,5,1
Hypoestes aristata,n,simple,forb,round_forb,15,round_herb,low,15,3.64,15,1.9,15,90,36.5333333333333,15,5.54,7.496,15,1
Hypoestes forskaolii,n,simple,forb,straight_forb,2,straight_herb,low,2,2.05,2,1.5,2,30,18.25,2,3.55,3.11,2,1
Indigastrum sp. 1,n,pinnately_compound,forb,straight_forb,1,straight_herb,low,1,1.8,1,1.3,1,25,25,1,3.1,2.34,1,1
Indigofera filipes,n,pinnately_compound,forb,straight_forb,2,straight_herb,low,2,4.5,2,2.25,2,47,46,2,6.75,10.25,2,1
Indigofera holubii,n,pinnately_compound,forb,straight_forb,10,straight_herb,medium,10,5.33,10,4.37,10,80,53.6,10,9.7,23.032,10,2
Indigofera schimperi,n,pinnately_compound,forb,round_forb,1,round_herb,medium,1,8,1,6,1,26,26,1,14,48,1,2
Indigofera tinctoria,n,pinnately_compound,shrub,shrub_single_stemmed,2,single_stemmed_woody,low,2,6.6,2,3.65,2,90,65,2,10.25,24.23,2,1
Indigofera vicioides,n,pinnately_compound,forb,straight_forb,8,straight_herb,low,8,3.15,8,1.7125,8,38,22.25,8,4.8625,5.57125,8,1
Ipomea ficifolia,n,lobed,forb,climbing_forb,5,climbing_herb,low,5,6.9,5,5.42,5,36,31.2,5,12.32,39.59,5,1
Ipomoea plebeia,n,simple,forb,climbing_forb,9,climbing_herb,low,9,3.55555555555556,9,2.16666666666667,9,65,27.6111111111111,9,5.72222222222222,9.12222222222222,9,1
Ipomoea sinensis,n,simple,forb,climbing_forb,8,climbing_herb,medium,8,3.875,8,3.1375,8,45,20.5,8,7.0125,12.495,8,2
Jasminum stenolobum,n,simple,shrub,shrub_multi_stemmed,5,multi_stemmed_woody,medium,5,4.6,5,1.2,5,105,74,5,5.8,5.544,5,2
Jatropha capensis,n,simple,shrub,shrub_single_stemmed,5,single_stemmed_woody,low,5,5.76,5,1.7,5,120,66,5,7.46,10.004,5,1
Justicia flava,n,simple,forb,straight_forb,10,straight_herb,medium,10,5.7,10,2.02,10,52,32.25,10,7.72,11.705,10,2
Justicia protracta,n,simple,forb,straight_forb,8,straight_herb,low,8,3.825,8,2.225,8,38,25.375,8,6.05,9.695,8,1
Kyphocarpa angustifolia,n,simple,forb,straight_forb,3,straight_herb,low,3,3.93333333333333,3,0.266666666666667,3,44,36.3333333333333,3,4.2,0.94,3,1
