mean_2d,mean_3d,mean_Z,mean_height,adjusted_mean_2d,adjusted_mean_3d,median_2d,median_3d,median_Z,median_height,sd_2d,sd_3d,sd_Z,sd_height,point_fraction,plot_id
1.78951912761493,2.30312129383002,0.663888798305105,1.57388879830445,3.96993110890229,5.10932391325549,1.27088158378348,1.79646152199261,-0.085,0.825,1.45009129057248,1.63783899432423,1.49699449782138,0.825,0.450768307692308,pnr_out_15
1.45826996132239,1.60582633652438,-0.268461601610104,0.671538398389896,3.71373553459666,4.08951324961383,0.993812859647127,1.1516601061077,-0.404,0.536,1.25507729501409,1.2052662358828,0.50744754331922,0.536,0.392669307692308,pnr_out_14
2.2447300407891,2.65966508258087,0.962052034678002,1.89205203467793,6.24262855109624,7.39656924403989,1.2927973545765,1.41881217925418,0.144,1.074,1.88791820107306,2.3170018702475,1.70696334415452,1.074,0.359580907692308,pnr_out_13
1.01545964923289,1.13461654810411,-0.243380120412774,0.686619879587215,3.7381862052397,4.17683551637286,0.804215145343583,0.942375721249227,-0.255,0.675,0.699897308245335,0.659325383279955,0.376584995855135,0.675,0.271645015384615,pnr_out_12
1.54301580267971,1.67213040513242,0.0276028079671741,0.967602807967166,5.85312823429109,6.34289919046847,1.0105721151902,1.09134275092658,-0.191,0.749,1.2904520675083,1.32737762108877,0.714860296878713,0.749,0.263622415384615,pnr_out_11
1.40745033422899,1.54677068520038,-0.0296324744112863,0.890367525588676,3.76644006330536,4.13927151516607,0.968745580635081,1.09545652583752,-0.195,0.725,1.20217714225859,1.24422356160465,0.71663619258805,0.725,0.373681861538462,pnr_out_10
1.63266068207378,1.87618664295071,0.0555626899834537,1.00556268998375,4.06598484005957,4.67246288902493,1.21320154961985,1.29524283437508,-0.391,0.559,1.31876300180912,1.49677856551775,1.16302126195172,0.559,0.401541261538462,pnr_out_1
1.39308551822603,1.72437305351952,0.328819285062205,1.26881928506214,1.93265321757545,2.3922545217674,1.12318342224233,1.49707114059419,0.374,1.314,1.10460997203903,1.0154498549567,0.857687753047965,1.314,0.720815046153846,pnr_in_9
1.67015714968366,2.34941601396495,0.773217064200364,1.70321706420028,2.28346029894588,3.21215173950114,1.28040306153961,1.84836414161279,0.443,1.373,1.28688529463326,1.49173074230466,1.64367057664586,1.373,0.731415015384615,pnr_in_8
1.46717949513585,2.01930467081666,0.482046387746538,1.42204638774647,2.07609784250324,2.85736958861398,1.13337107780285,1.50800828910189,0.181,1.121,1.14893786517032,1.37258186611204,1.50217501000141,1.121,0.706700553846154,pnr_in_7
2.47045822135564,2.82923319996192,0.482870658917258,1.42287065891747,5.11424888049193,5.85697122925474,1.81407965646495,1.90606964720599,-0.337,0.603,1.94805424786363,2.21313531708319,1.66471776446284,0.603,0.483053969230769,pnr_in_6
1.94896642142347,2.26883629085844,0.366419707096846,1.32641970709727,6.04255813328817,7.03427982736253,1.07982822708059,1.18100423369267,-0.3,0.66,1.83386360910936,2.16803064282218,1.59755619319957,0.66,0.322539953846154,pnr_in_5
