plot_id,site_id,elevation_plot,map_plot,mat_plot,npp_plot,ndvi_plot,evi_plot,fire_frequency,years_since_last_fire,last_fire_year
knp_satara_out_8,knp_satara_out,297,535.099975585938,22.75,5646.6510417,4075.8329534,2333.9942942,0.0869565,4,2020
knp_satara_out_9,knp_satara_out,297,535.099975585938,22.75,5646.9490741,4075.8909637,2334.1401154,0.0869565,4,2020
knp_satara_out_10,knp_satara_out,298.643493652344,535.100036621094,22.75,5675.5601852,4081.4599467,2348.1389474,0.0869565,4,2020
knp_satara_out_11,knp_satara_out,298.419647216797,535.099975585938,22.75,5670.7916667,4080.5317829,2345.8058087,0.0869565,4,2020
knp_satara_out_12,knp_satara_out,299.768096923828,535.100036621094,22.75,5690.7231481,4083.282721,2349.2011655,0.094686,4,2020
knp_satara_out_13,knp_satara_out,298,535.099975585938,22.7500019073486,5675.5792683,4084.6912709,2339.3394002,0.1007423,4,2020
knp_satara_out_14,knp_satara_out,298,535.099975585938,22.75,5688.7961957,4088.9229013,2342.0476057,0.1068053,4,2020
knp_satara_out_15,knp_satara_out,297.051391601563,535.099975585938,22.75,5707.3822917,4095.1657867,2346.0826004,0.1152174,4,2020
knp_satara_out_16,knp_satara_out,297.027008056641,535.099975585938,22.75,5739.5059524,4095.8907212,2355.4743786,0.1200828,4,2020
knp_satara_out_17,knp_satara_out,297,535.100036621094,22.75,5751.2869318,4099.5252638,2357.8168321,0.1254941,4,2020
knp_satara_out_18,knp_satara_out,296.652557373047,535.099975585938,22.75,5757.6666667,4101.8361422,2357.7389861,0.1304348,4,2020
knp_satara_in_13,knp_satara_in,298,535.099975585938,22.75,5622.8583333,4080.0403881,2316.8095682,0.1,4,2020
knp_satara_in_14,knp_satara_in,298.302001953125,535.100036621094,22.75,5641.1064815,4087.8478772,2323.0689505,0.1062802,4,2020
knp_satara_out_1,knp_satara_out,300,535.100036621094,22.7500019073486,5661.2546296,4078.6754552,2341.1395314,0.0869565,4,2020
knp_satara_out_2,knp_satara_out,300,535.100036621094,22.75,5657.3802083,4077.9213221,2339.2438562,0.0869565,4,2020
knp_satara_out_3,knp_satara_out,299.786499023438,535.100036621094,22.75,5656.4861111,4077.7472914,2338.8063927,0.0869565,4,2020
knp_satara_out_4,knp_satara_out,297.099304199219,535.099975585938,22.7500019073486,5682.9202899,4082.8925474,2351.7400962,0.0869565,4,2020
knp_satara_out_5,knp_satara_out,297,535.099975585938,22.7500019073486,5678.8385417,4082.0980594,2349.7429802,0.0869565,4,2020
knp_satara_out_6,knp_satara_out,297,535.100036621094,22.75,5679.7742248,4082.2801845,2350.2007909,0.0869565,4,2020
knp_roan_in_1,knp_roan_in,382,456.800018310547,23.25,2770.8333333,3859.809628,2091.8949672,0.3478261,0,2024
