"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","unique_id","Best_match_overall_score","Best_match_highertaxa"
"20","Spirostachys africana","1","308490","Spirostachys africana","1","species","","","","Sond.","Euphorbiaceae","Spirostachys","Spirostachys","1","africana","africana","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:356435-1","","Y","Accepted","Spirostachys africana","Spirostachys africana","Sond.","308490","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:356435-1","","Euphorbiaceae",1,"1","wcvp","","20",true,true
"21","Trachypogon spicatus","1","895613","Trachypogon spicatus","1","species","","","","(L.f.) Kuntze","Poaceae","Trachypogon","Trachypogon","1","spicatus","spicatus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:424391-1","","Y","Accepted","Trachypogon spicatus","Trachypogon spicatus","(L.f.) Kuntze","895613","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:424391-1","","Poaceae",1,"1","wcvp","","21",true,true
"22","Vachellia karroo","1","504196","Vachellia karroo","1","species","","","","(Hayne) Banfi & Galasso","Fabaceae","Vachellia","Vachellia","1","karroo","karroo","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77087189-1","","Y","Accepted","Vachellia karroo","Vachellia karroo","(Hayne) Banfi & Galasso","504196","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77087189-1","","Fabaceae",1,"1","wcvp","","22",true,true
"23","Capparis sepiaria","1","578242","Capparis sepiaria","1","species","","","","L.","Capparaceae","Capparis","Capparis","1","sepiaria","sepiaria","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:146769-1","","Y","Accepted","Capparis sepiaria","Capparis sepiaria","L.","578242","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:146769-1","","Capparaceae",1,"1","wcvp","","23",true,true
"24","Chaenostoma campanulatum","1","591870","Chaenostoma campanulatum","1","species","","","","Benth.","Scrophulariaceae","Chaenostoma","Chaenostoma","1","campanulatum","campanulatum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:801442-1","","Y","Accepted","Chaenostoma campanulatum","Chaenostoma campanulatum","Benth.","591870","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:801442-1","","Scrophulariaceae",1,"1","wcvp","","24",true,true
"25","Ehretia rigida","1","1661457","Ehretia rigida","1","species","","","","(Thunb.) Druce","Boraginaceae","Ehretia","Ehretia","1","rigida","rigida","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:116109-1","","Y","Accepted","Ehretia rigida","Ehretia rigida","(Thunb.) Druce","1661457","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:116109-1","","Boraginaceae",1,"1","wcvp","","25",true,true
"26","Hypoestes aristata","1","720863","Hypoestes aristata","1","species","","","","(Vahl) Sol. ex Roem. & Schult.","Acanthaceae","Hypoestes","Hypoestes","1","aristata","aristata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:49834-1","","Y","Accepted","Hypoestes aristata","Hypoestes aristata","(Vahl) Sol. ex Roem. & Schult.","720863","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:49834-1","","Acanthaceae",1,"1","wcvp","","26",true,true
"27","Panicum deustum","1","875579","Panicum deustum","1","species","","","","Thunb.","Poaceae","Panicum","Panicum","1","deustum","deustum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:411174-1","","Y","Accepted","Panicum deustum","Panicum deustum","Thunb.","875579","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:411174-1","","Poaceae",1,"1","wcvp","","27",true,true
"27","Panicum deustum","1","875580","Panicum deustum","1","species","","","","Brickell & Enslin ex Muhl.","Poaceae","Panicum","Panicum","1","deustum","deustum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:411173-1","","Y","Invalid","Dichanthelium dichotomum","Dichanthelium dichotomum","(L.) Gould","855140","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:79351-2","","Poaceae",2,"2","wcvp","","27",false,false
"28","Grewia flavescens","1","702335","Grewia flavescens","1","species","","","","Juss.","Malvaceae","Grewia","Grewia","1","flavescens","flavescens","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:834301-1","","Y","Accepted","Grewia flavescens","Grewia flavescens","Juss.","702335","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:834301-1","","Malvaceae",1,"1","wcvp","","28",true,true
"29","Azima tetracantha","1","551388","Azima tetracantha","1","species","","","","Lam.","Salvadoraceae","Azima","Azima","1","tetracantha","tetracantha","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:779315-1","","Y","Accepted","Azima tetracantha","Azima tetracantha","Lam.","551388","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:779315-1","","Salvadoraceae",1,"1","wcvp","","29",true,true
"30","Crassula spathulata","1","618446","Crassula spathulata","1","species","","","","Thunb.","Crassulaceae","Crassula","Crassula","1","spathulata","spathulata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:273505-1","","Y","Accepted","Crassula spathulata","Crassula spathulata","Thunb.","618446","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:273505-1","","Crassulaceae",1,"1","wcvp","","30",true,true
"31","Schotia afra","1","168551","Schotia afra","1","species","","","","Thunb.","Fabaceae","Schotia","Schotia","1","afra","afra","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518033-1","","Y","Accepted","Schotia afra","Schotia afra","Thunb.","168551","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518033-1","","Fabaceae",1,"1","wcvp","","31",true,true
"32","Senegalia nigrescens","1","1267564","Senegalia nigrescens","1","species","","","","(Oliv.) P.J.H.Hurter","Fabaceae","Senegalia","Senegalia","1","nigrescens","nigrescens","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77089270-1","","Y","Accepted","Senegalia nigrescens","Senegalia nigrescens","(Oliv.) P.J.H.Hurter","1267564","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77089270-1","","Fabaceae",1,"1","wcvp","","32",true,true
"33","Plumbago auriculata","1","480926","Plumbago auriculata","1","species","","","","Lam.","Plumbaginaceae","Plumbago","Plumbago","1","auriculata","auriculata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:687056-1","","Y","Accepted","Plumbago auriculata","Plumbago auriculata","Lam.","480926","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:687056-1","","Plumbaginaceae",1,"1","wcvp","","33",true,true
"34","Setaria sphacelata","1","891259","Setaria sphacelata","1","species","","","","(Schumach.) Stapf & C.E.Hubb. ex Moss","Poaceae","Setaria","Setaria","1","sphacelata","sphacelata","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:421814-1","","Y","Accepted","Setaria sphacelata","Setaria sphacelata","(Schumach.) Stapf & C.E.Hubb. ex Moss","891259","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:421814-1","","Poaceae",1,"1","wcvp","","34",true,true
"35","Sideroxylon inerme","1","305734","Sideroxylon inerme","1","species","","","","L.","Sapotaceae","Sideroxylon","Sideroxylon","1","inerme","inerme","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:789686-1","","Y","Accepted","Sideroxylon inerme","Sideroxylon inerme","L.","305734","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:789686-1","","Sapotaceae",1,"1","wcvp","","35",true,true
"36","Barleria elegans","1","1031921","Barleria elegans","1","species","","","","S.Moore ex C.B.Clarke","Acanthaceae","Barleria","Barleria","1","elegans","elegans","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77147132-1","","Y","Accepted","Barleria elegans","Barleria elegans","S.Moore ex C.B.Clarke","1031921","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77147132-1","","Acanthaceae",1,"1","wcvp","","36",true,true
"37","Colophospermum mopane","1","1044449","Colophospermum mopane","1","species","","","","(J.Kirk ex Benth.) J.Léonard","Fabaceae","Colophospermum","Colophospermum","1","mopane","mopane","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:486795-1","","Y","Accepted","Colophospermum mopane","Colophospermum mopane","(J.Kirk ex Benth.) J.Léonard","1044449","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:486795-1","","Fabaceae",1,"1","wcvp","","37",true,true
"38","Cordia monoica","1","613726","Cordia monoica","1","species","","","","Roxb.","Boraginaceae","Cordia","Cordia","1","monoica","monoica","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:114369-1","","Y","Accepted","Cordia monoica","Cordia monoica","Roxb.","613726","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:114369-1","","Boraginaceae",1,"1","wcvp","","38",true,true
"39","Eragrostis cylindrifolia","0.97265030347668","859349","Eragrostis cylindriflora","0.97265030347668","species","","","","Hochst.","Poaceae","Eragrostis","Eragrostis","1","cylindrifolia","cylindriflora","0.84615384615385","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:400993-1","","","Accepted","Eragrostis cylindriflora","Eragrostis cylindriflora","Hochst.","859349","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:400993-1","","Poaceae",1,"1","wcvp","","39",true,true
"40","Grewia bicolor","1","702177","Grewia bicolor","1","species","","","","Juss.","Malvaceae","Grewia","Grewia","1","bicolor","bicolor","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:834087-1","","Y","Accepted","Grewia bicolor","Grewia bicolor","Juss.","702177","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:834087-1","","Malvaceae",1,"1","wcvp","","40",true,true
"40","Grewia bicolor","1","702178","Grewia bicolor","1","species","","","","Roth","Malvaceae","Grewia","Grewia","1","bicolor","bicolor","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:834088-1","","Y","Illegitimate","Grewia rothii","Grewia rothii","DC.","702669","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:834519-1","","Malvaceae",2,"2","wcvp","","40",false,false
"41","Gymnosporia buxifolia","1","705264","Gymnosporia buxifolia","1","species","","","","(L.) Szyszył.","Celastraceae","Gymnosporia","Gymnosporia","1","buxifolia","buxifolia","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161310-1","","Y","Accepted","Gymnosporia buxifolia","Gymnosporia buxifolia","(L.) Szyszył.","705264","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161310-1","","Celastraceae",1,"1","wcvp","","41",true,true
"42","Sclerocarya birrea","1","1637297","Sclerocarya birrea","1","species","","","","(A.Rich.) Hochst.","Anacardiaceae","Sclerocarya","Sclerocarya","1","birrea","birrea","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71162-1","","Y","Accepted","Sclerocarya birrea","Sclerocarya birrea","(A.Rich.) Hochst.","1637297","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71162-1","","Anacardiaceae",1,"1","wcvp","","42",true,true
"43","Searsia incisa","1","429040","Searsia incisa","1","species","","","","(L.f.) F.A.Barkley","Anacardiaceae","Searsia","Searsia","1","incisa","incisa","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71175-1","","Y","Accepted","Searsia incisa","Searsia incisa","(L.f.) F.A.Barkley","429040","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71175-1","","Anacardiaceae",1,"1","wcvp","","43",true,true
"44","Searsia pterota","1","503906","Searsia pterota","1","species","","","","(C.Presl) Moffett","Anacardiaceae","Searsia","Searsia","1","pterota","pterota","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77088485-1","","Y","Accepted","Searsia pterota","Searsia pterota","(C.Presl) Moffett","503906","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77088485-1","","Anacardiaceae",1,"1","wcvp","","44",true,true
"45","Senegalia caffra","1","1267561","Senegalia caffra","1","species","","","","(Thunb.) P.J.H.Hurter & Mabb.","Fabaceae","Senegalia","Senegalia","1","caffra","caffra","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77089267-1","","Y","Accepted","Senegalia caffra","Senegalia caffra","(Thunb.) P.J.H.Hurter & Mabb.","1267561","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77089267-1","","Fabaceae",1,"1","wcvp","","45",true,true
"46","Tephrosia purpurea","1","199910","Tephrosia purpurea","1","species","","","","(L.) Pers.","Fabaceae","Tephrosia","Tephrosia","1","purpurea","purpurea","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:520851-1","","Y","Accepted","Tephrosia purpurea","Tephrosia purpurea","(L.) Pers.","199910","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:520851-1","","Fabaceae",1,"1","wcvp","","46",true,true
"47","Vachellia tortillis","0.98210117101673","1268136","Vachellia tortilis","0.98210117101673","species","","","","(Forssk.) Galasso & Banfi","Fabaceae","Vachellia","Vachellia","1","tortillis","tortilis","0.88888888888889","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77087190-1","","Y","Accepted","Vachellia tortilis","Vachellia tortilis","(Forssk.) Galasso & Banfi","1268136","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77087190-1","","Fabaceae",1,"1","wcvp","","47",true,true
"48","Aristida bipartita","1","840318","Aristida bipartita","1","species","","","","(Nees) Trin. & Rupr.","Poaceae","Aristida","Aristida","1","bipartita","bipartita","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389270-1","","Y","Accepted","Aristida bipartita","Aristida bipartita","(Nees) Trin. & Rupr.","840318","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389270-1","","Poaceae",1,"1","wcvp","","48",true,true
"49","Combretum imberbe","1","609379","Combretum imberbe","1","species","","","","Wawra","Combretaceae","Combretum","Combretum","1","imberbe","imberbe","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170163-1","","Y","Accepted","Combretum imberbe","Combretum imberbe","Wawra","609379","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170163-1","","Combretaceae",1,"1","wcvp","","49",true,true
